,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
74,COD,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Democratic Republic of the Congo,2012,Sex,5.7 [4.8-6.7],180,0,5.7,4.8,6.7
75,COD,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Democratic Republic of the Congo,2012,Sex,2.9 [2.0-4.0],180,1,2.9,2.0,4.0
76,COG,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Congo,2012,Sex,11.4 [9.5-13.4],178,0,11.4,9.5,13.4
77,COG,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Congo,2012,Sex,3.2 [2.0-4.9],178,1,3.2,2.0,4.9
78,COK,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cook Islands,2012,Sex,66.0 [61.8-70.2],184,0,66.0,61.8,70.2
79,COK,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cook Islands,2012,Sex,58.6 [54.0-63.0],184,1,58.6,54.0,63.0
80,COL,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Colombia,2012,Sex,22.5 [21.1-23.9],170,0,22.5,21.1,23.9
81,COL,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Colombia,2012,Sex,13.4 [12.2-14.7],170,1,13.4,12.2,14.7
82,COM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Comoros,2012,Sex,16.6 [14.4-18.9],174,0,16.6,14.4,18.9
83,COM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Comoros,2012,Sex,4.7 [3.3-6.4],174,1,4.7,3.3,6.4
84,CPV,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cabo Verde,2012,Sex,15.9 [13.4-18.5],132,0,15.9,13.4,18.5
85,CPV,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cabo Verde,2012,Sex,6.4 [4.9-8.2],132,1,6.4,4.9,8.2
86,CRI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Costa Rica,2012,Sex,29.5 [27.6-31.5],188,0,29.5,27.6,31.5
87,CRI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Costa Rica,2012,Sex,20.1 [18.1-22.1],188,1,20.1,18.1,22.1
88,CUB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cuba,2012,Sex,19.6 [17.7-21.7],192,0,19.6,17.7,21.7
89,CUB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cuba,2012,Sex,12.9 [11.3-14.8],192,1,12.9,11.3,14.8
90,CYP,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cyprus,2012,Sex,19.7 [14.8-25.3],196,0,19.7,14.8,25.3
91,CYP,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Cyprus,2012,Sex,23.3 [17.6-29.4],196,1,23.3,17.6,29.4
92,CZE,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Czechia,2012,Sex,20.1 [18.4-21.7],203,0,20.1,18.4,21.7
93,CZE,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Czechia,2012,Sex,23.4 [21.6-25.4],203,1,23.4,21.6,25.4
94,DEU,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Germany,2012,Sex,18.8 [17.2-20.6],276,0,18.8,17.2,20.6
