,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
101,DZA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Algeria,2012,Sex,18.4 [10.6-28.0],12,1,18.4,10.6,28.0
102,ECU,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ecuador,2012,Sex,26.6 [15.0-40.6],218,0,26.6,15.0,40.6
103,ECU,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ecuador,2012,Sex,16.6 [9.3-26.2],218,1,16.6,9.3,26.2
104,EGY,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Egypt,2012,Sex,36.5 [26.8-47.5],818,0,36.5,26.8,47.5
105,EGY,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Egypt,2012,Sex,27.8 [20.0-37.0],818,1,27.8,20.0,37.0
106,ERI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Eritrea,2012,Sex,16.4 [8.5-27.1],232,0,16.4,8.5,27.1
107,ERI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Eritrea,2012,Sex,7.2 [3.5-12.7],232,1,7.2,3.5,12.7
108,ESP,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Spain,2012,Sex,33.6 [27.4-40.2],724,0,33.6,27.4,40.2
109,ESP,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Spain,2012,Sex,27.7 [22.5-33.7],724,1,27.7,22.5,33.7
110,EST,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Estonia,2012,Sex,14.2 [10.1-18.9],233,0,14.2,10.1,18.9
111,EST,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Estonia,2012,Sex,14.8 [10.6-19.7],233,1,14.8,10.6,19.7
112,ETH,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ethiopia,2012,Sex,14.2 [8.5-21.5],231,0,14.2,8.5,21.5
113,ETH,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ethiopia,2012,Sex,7.6 [4.3-11.9],231,1,7.6,4.3,11.9
114,FIN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Finland,2012,Sex,15.0 [10.6-20.0],246,0,15.0,10.6,20.0
115,FIN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Finland,2012,Sex,17.2 [12.7-22.3],246,1,17.2,12.7,22.3
116,FJI,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Fiji,2012,Sex,24.5 [13.9-37.7],242,0,24.5,13.9,37.7
117,FJI,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Fiji,2012,Sex,11.9 [6.3-19.4],242,1,11.9,6.3,19.4
118,FRA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),France,2012,Sex,34.1 [27.7-40.7],250,0,34.1,27.7,40.7
119,FRA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),France,2012,Sex,26.7 [21.2-32.5],250,1,26.7,21.2,32.5
120,FSM,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Micronesia (Federated States of),2012,Sex,41.4 [26.4-57.3],583,0,41.4,26.4,57.3
121,FSM,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Micronesia (Federated States of),2012,Sex,29.4 [18.2-42.3],583,1,29.4,18.2,42.3
122,GAB,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Gabon,2012,Sex,26.0 [8.2-52.3],266,0,26.0,8.2,52.3
123,GAB,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Gabon,2012,Sex,19.1 [7.1-38.8],266,1,19.1,7.1,38.8
124,GBR,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),United Kingdom of Great Britain and Northern Ireland,2012,Sex,29.2 [23.5-35.6],826,0,29.2,23.5,35.6
125,GBR,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),United Kingdom of Great Britain and Northern Ireland,2012,Sex,25.1 [19.9-30.6],826,1,25.1,19.9,30.6
126,GEO,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Georgia,2012,Sex,20.0 [14.0-27.1],268,0,20.0,14.0,27.1
127,GEO,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Georgia,2012,Sex,18.9 [13.2-25.5],268,1,18.9,13.2,25.5
128,GHA,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ghana,2012,Sex,21.1 [13.8-29.9],288,0,21.1,13.8,29.9
129,GHA,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Ghana,2012,Sex,17.3 [11.4-24.3],288,1,17.3,11.4,24.3
130,GIN,Female,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guinea,2012,Sex,19.9 [5.3-42.7],324,0,19.9,5.3,42.7
131,GIN,Male,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Guinea,2012,Sex,14.9 [4.9-32.5],324,1,14.9,4.9,32.5
